"Brand Name","Location Name","Sweep Id","Promotion Name","Date of promotion created","Date of Entry created","Promotion URL",Email,newsletter_subscribed
Brand1,-NA-,5327,"CST 2AM Sweep8-15","2014-08-08 02:04:52","2014-08-08 02:08:10",http://bit.ly/X5UQpm,vamshikurra@gmail.com,1
Brand1,-NA-,5327,"CST 2AM Sweep8-15","2014-08-08 02:04:52","2014-08-08 02:08:10",http://bit.ly/X5UQpm,vamshikurra@gmail.com,1
Brand1,-NA-,5327,"CST 2AM Sweep8-15","2014-08-08 02:04:52","2014-08-08 02:08:10",http://bit.ly/X5UQpm,vamshikurra@gmail.com,1
Brand1,-NA-,5327,"CST 2AM Sweep8-15","2014-08-08 02:04:52","2014-08-08 02:08:10",http://bit.ly/X5UQpm,vamshikurra@gmail.com,1
Brand1,-NA-,5327,"CST 2AM Sweep8-15","2014-08-08 02:04:52","2014-08-08 02:08:10",http://bit.ly/X5UQpm,vamshikurra@gmail.com,1
Brand1,-NA-,5327,"CST 2AM Sweep8-15","2014-08-08 02:04:52","2014-08-08 02:08:10",http://bit.ly/X5UQpm,vamshikurra@gmail.com,1
Brand1,-NA-,5327,"CST 2AM Sweep8-15","2014-08-08 02:04:52","2014-08-08 02:06:53",http://bit.ly/X5UQpm,vamshikurra@gmail.com,1
Brand1,-NA-,5327,"CST 2AM Sweep8-15","2014-08-08 02:04:52","2014-08-08 02:06:53",http://bit.ly/X5UQpm,vamshikurra@gmail.com,1
Brand1,-NA-,5327,"CST 2AM Sweep8-15","2014-08-08 02:04:52","2014-08-08 02:06:53",http://bit.ly/X5UQpm,vamshikurra@gmail.com,1
Brand1,-NA-,5327,"CST 2AM Sweep8-15","2014-08-08 02:04:52","2014-08-08 02:06:53",http://bit.ly/X5UQpm,vamshikurra@gmail.com,1
Brand1,-NA-,5327,"CST 2AM Sweep8-15","2014-08-08 02:04:52","2014-08-08 02:06:53",http://bit.ly/X5UQpm,vamshikurra@gmail.com,1
Brand1,-NA-,5327,"CST 2AM Sweep8-15","2014-08-08 02:04:52","2014-08-08 02:06:53",http://bit.ly/X5UQpm,vamshikurra@gmail.com,1
Brand1,-NA-,5327,"CST 2AM Sweep8-15","2014-08-08 02:04:52","2014-08-08 02:06:53",http://bit.ly/X5UQpm,vamshikurra@gmail.com,1
Brand1,-NA-,5326,"CST 1AM Viral Sweeps ","2014-08-08 01:50:57","2014-08-08 01:53:18",http://bit.ly/V2ZeUB,vamshikurra@gmail.com,1
Brand1,-NA-,5326,"CST 1AM Viral Sweeps ","2014-08-08 01:50:57","2014-08-08 01:53:18",http://bit.ly/V2ZeUB,vamshikurra@gmail.com,1
Brand1,-NA-,5326,"CST 1AM Viral Sweeps ","2014-08-08 01:50:57","2014-08-08 01:53:18",http://bit.ly/V2ZeUB,vamshikurra@gmail.com,1
Brand1,-NA-,5326,"CST 1AM Viral Sweeps ","2014-08-08 01:50:57","2014-08-08 01:53:18",http://bit.ly/V2ZeUB,vamshikurra@gmail.com,1
Brand1,-NA-,5326,"CST 1AM Viral Sweeps ","2014-08-08 01:50:57","2014-08-08 01:53:18",http://bit.ly/V2ZeUB,vamshikurra@gmail.com,1
Brand1,-NA-,5326,"CST 1AM Viral Sweeps ","2014-08-08 01:50:57","2014-08-08 01:53:18",http://bit.ly/V2ZeUB,vamshikurra@gmail.com,1
Brand1,-NA-,5326,"CST 1AM Viral Sweeps ","2014-08-08 01:50:57","2014-08-08 01:53:18",http://bit.ly/V2ZeUB,vamshikurra@gmail.com,1
